epoch,auc,score,date
18,0.9591,,20200203
19,0.9506,,20200203
20,0.9538,,20200203
21,0.9356,,20200203
22,0.9418,,20200203
23,0.9458,,20200203
24,0.9452,,20200203
25,0.9486,,20200203
26,0.9506,,20200203
27,0.9529,,20200203
28,0.9543,,20200203
29,0.9558,,20200203
30,0.9569,,20200203
31,0.9579,,20200203
32,0.9589,,20200203
33,0.9597,,20200203
34,0.9605,,20200203
35,0.9611,,20200203
36,0.9617,,20200203
37,0.9622,,20200203
38,0.9627,,20200203
39,0.9632,,20200203
40,0.9636,,20200203
41,0.9639,0.89984,20200203
